anno,keyword1,keyword2,relationship
2014,artificial neural network,deep learning,{'31e7de2233e356105629e9900b3cb20ec9b9bba6': 2}
2014,artificial neural network,computer vision,{'188df0e1a40ac5278909401e1b79588ceab4c7cf': 2}
2014,multimodal interaction,language model,"{'e1c311aa46b9c22870e043980791e5ede54feb28': 2, 'f01ed9d1c2a8e1dc3d0147f55fcce4e24c9f747a': 2}"
2014,iterative method,algorithm,"{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3, '8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2}"
2014,analytical models,topology,{'c899f7479d51bbe60808f79ef3f48076ba4123ce': 3}
2014,analytical models,mathematical model,{'c899f7479d51bbe60808f79ef3f48076ba4123ce': 2}
2014,topology,mathematical model,{'c899f7479d51bbe60808f79ef3f48076ba4123ce': 2}
2014,particle swarm optimization,mathematical optimization,"{'854c26751f623ec6fb0207235d82e9ceb20d5ba9': 4, 'be1bdf67a8c276bffc036bbf880186190d18dbad': 4}"
2014,ant colony optimization algorithms,mathematical optimization,{'88722517ea3bdea2c767436f1c3981ddb1604a3f': 2}
2014,iteration,simulation,{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014,iteration,machine learning,{'56da068a7f2f2027c1d51a1452d912d527d02398': 2}
2014,genetic algorithm,heuristic,{'b610370486ebcec9080188afd35a654af82003e2': 2}
2014,genetic algorithm,mathematical optimization,"{'b610370486ebcec9080188afd35a654af82003e2': 2, 'f0726b28ea878d7ad76604cf1da2d324ee6e88b8': 2}"
2014,heuristic,mathematical optimization,{'b610370486ebcec9080188afd35a654af82003e2': 2}
2014,machine learning,mathematical optimization,{'56da068a7f2f2027c1d51a1452d912d527d02398': 2}
2014,usb on-the-go,hamilton–jacobi–bellman equation,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}"
2014,usb on-the-go,iteration,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}"
2014,usb on-the-go,nonlinear system,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}"
2014,usb on-the-go,dynamic programming,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 4, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4}"
2014,usb on-the-go,bellman equation,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}"
2014,usb on-the-go,algorithm,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}"
2014,usb on-the-go,optimal control,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 4, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4}"
2014,usb on-the-go,neural networks,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}"
2014,usb on-the-go,markov decision process,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}"
2014,hamilton–jacobi–bellman equation,iteration,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}"
2014,hamilton–jacobi–bellman equation,nonlinear system,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4}"
2014,hamilton–jacobi–bellman equation,simulation,{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014,hamilton–jacobi–bellman equation,dynamic programming,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}"
2014,hamilton–jacobi–bellman equation,bellman equation,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}"
2014,hamilton–jacobi–bellman equation,optimal control,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4}"
2014,hamilton–jacobi–bellman equation,neural networks,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}"
2014,hamilton–jacobi–bellman equation,neural network simulation,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}"
2014,hamilton–jacobi–bellman equation,markov decision process,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}"
2014,jacobi method,iteration,{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014,jacobi method,nonlinear system,{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014,jacobi method,bellman equation,{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014,jacobi method,algorithm,{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014,jacobi method,optimal control,{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014,jacobi method,neural network simulation,{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014,jacobi method,markov decision process,{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014,iteration,nonlinear system,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 6, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2}"
2014,iteration,dynamic programming,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}"
2014,iteration,bellman equation,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}"
2014,iteration,algorithm,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3, '16f9c272567ea0b89be8572e5a3097cc6f80a9f1': 2}"
2014,iteration,optimal control,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 6, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2}"
2014,iteration,neural networks,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}"
2014,iteration,neural network simulation,{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014,iteration,markov decision process,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 5, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2}"
2014,nonlinear system,simulation,"{'5817c1fddf842b6b0dfc888cac6d4157224e28b6': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4, '2d511ad1699965b89a2039e8b92a83e41b7b7aa5': 3, 'd27c592254ac8088026f3beff99892311ae0a6c4': 3, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 3, '3b2d0bb85ab0146cb7905a1f212ed1aad6410f05': 2, '8070a5ab9c85134ea82953e4ec9d0b3cc1ae36a1': 2, 'ad4b5e3fd973f66e779be6cd8e00f23efa3fb5b7': 2}"
2014,nonlinear system,dynamic programming,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 4, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 5}"
2014,nonlinear system,bellman equation,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 5, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2}"
2014,nonlinear system,algorithm,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}"
2014,nonlinear system,optimal control,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 4, '5817c1fddf842b6b0dfc888cac6d4157224e28b6': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 9, 'd27c592254ac8088026f3beff99892311ae0a6c4': 4, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 4}"
2014,nonlinear system,neural networks,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}"
2014,nonlinear system,neural network simulation,"{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3, '622cd0cd6537cf0b6019460bf5af870a939f4230': 2, '32b16cb9e2b8dbbf68b92fc5cf73f7894036cf8f': 2}"
